case_id,level2_run_id,perturbed_run_id,broken_condition,level2_logic,perturbed_behavior,mechanical_reuse,audit_rationale
C001,RUN_20260527_210840_01_openclaw_deepseekv4pro_isolated,RUN_20260601_141101_01_openclaw_deepseekv4pro_researchagentv2search,pre-contact state is no longer researcher-assigned; households self-select into pre-contact availability,use variation in contact and avoidance frictions to separate social pressure from underlying willingness,agent rejects the base decomposition and replaces it with descriptive self-selection contrasts plus partial-identification bounds and sensitivity analysis,no,The final memo no longer preserves a point-identified pressure-versus-altruism estimand and explicitly treats the perturbation as fatal to the base causal design.
C002,RUN_20260527_215707_05_openclaw_deepseekv4pro_isolated,RUN_20260601_142014_02_openclaw_deepseekv4pro_researchagentv2search,borrowers are no longer cleanly blind to later terms at take-up,separate adverse selection from repayment incentives using staged timing variation,agent abandons the channel-separation target and reframes the design around the reduced-form ITT of the initial offer rate on repayment,no,"The final memo explicitly states that the Karlan-Zinman style decomposition is not identified once later terms are anticipated, so the base selection-versus-incentive logic is not retained."
C004,RUN_20260527_223907_09_openclaw_deepseekv4pro_isolated,RUN_20260601_143245_03_openclaw_deepseekv4pro_researchagentv2search,ad-availability variation is manager-chosen rather than exogenous,use exogenous ad-availability variation to identify incremental downstream sales effects,agent rejects all causal candidates and keeps only descriptive partial-correlation analysis under explicit non-causal caveats,no,The memo fully abandons the exogenous-assignment logic rather than trying to salvage causal ad-availability effects with a weakened observational design.
C005,RUN_20260527_224724_11_openclaw_deepseekv4pro_isolated,RUN_20260601_145350_04_openclaw_deepseekv4pro_researchagentv2search,untreated opportunity-side logs are removed,compare exposed and unexposed units within the same opportunity set to identify exposed-user lift,"agent rejects exposure-level lift, rejects Wald-IV/LATE, keeps only campaign-assignment ITT plus predictive PIE as a non-causal budget-allocation supplement",no,"Unlike v1, the final memo no longer preserves a secondary causal actual-exposure estimand; the base exposed-user logic is explicitly treated as not identified under the perturbation."
C008,RUN_20260527_230420_15_openclaw_deepseekv4pro_isolated,RUN_20260601_150718_05_openclaw_deepseekv4pro_researchagentv2search,untreated comparison stores/products are no longer available in the original clean form,use relative tax-visibility contrasts with untreated comparisons to isolate salience effects,agent abandons within-store treated-vs-untreated causal comparisons and keeps only descriptive demand-reallocation analysis,no,"Unlike v1, the memo does not retain a secondary within-store DiD or salience-gradient causal story after the untreated comparison structure is removed."
C010,RUN_20260527_231632_18_openclaw_deepseekv4pro_isolated,RUN_20260601_152208_06_openclaw_deepseekv4pro_researchagentv2search,"later offer is known in advance, weakening timing-based procrastination separation",use timing contrast between early small intervention and later known alternatives to diagnose present-bias/procrastination,agent narrows the target to the menu-announcement bundle ITT and explicitly rejects procrastination identification,no,The memo no longer treats the timing contrast as identifying procrastination once the later offer is anticipated.
C014,RUN_20260527_232816_21_openclaw_deepseekv4pro_isolated,RUN_20260601_153503_07_openclaw_deepseekv4pro_researchagentv2search,independent outcome measurement is removed; only official reports remain,compare treatment effects on independently measured corruption-related outcomes,agent narrows the estimand to reporting-side ITT on officially reported outcomes and explicitly refuses corruption-reduction claims,no,The memo fully absorbs the measurement breakdown and no longer interprets official records as clean corruption outcomes.
C016,RUN_20260527_234026_24_openclaw_deepseekv4pro_isolated,RUN_20260601_154952_08_openclaw_deepseekv4pro_researchagentv2search,"objective downstream outcome is removed, leaving selected self-reports",contrast targeted information with generic curriculum and interpret downstream effects using objective outcomes,agent narrows to self-reported ITT plus sensitivity bounds and explicitly states that actual behavior change is not identified,no,The final memo treats self-reports as a distinct reporting outcome rather than reusing the base interpretation of actual behavioral change.
C019,RUN_20260527_235916_28_openclaw_deepseekv4pro_isolated,RUN_20260601_160120_09_openclaw_deepseekv4pro_researchagentv2search,clean pre-trip basket capture is removed,combine pre-trip intent measurement with route variation to isolate route-induced incremental spending,agent downgrades to descriptive route-spending association and partial-identification diagnostics without claiming a causal route effect,no,The memo preserves the same broad downgrade discipline as v1 and does not attempt to keep the base incremental-spending identification logic.
C020,RUN_20260528_001055_31_openclaw_deepseekv4pro_isolated,RUN_20260601_161412_10_openclaw_deepseekv4pro_researchagentv2search,price ending is bundled with markdown/sale framing,hold underlying price constant while varying terminal-digit format to separate formatting from bargaining cues,agent rejects the standalone terminal-digit estimand and reframes the design around the compound bundle effect only,no,The final memo does not preserve the base mechanism-separation claim after price endings and promotion framing become perfectly bundled.
